10	10
10	11
11	12
10	13
11	11
11	15
10	15
12	10
13	10
14	10
15	15
12	11
13	11
14	11
15	11
12	12
12	13
12	14
13	10
13	11
30	30
30	31
30	32
30	33
30	34
31	30
31	32
31	31
31	33
31	34
32	30
32	33
32	31
32	34
34	34
34	30
34	31
34	33
34	32
50	50
50	51
50	52
50	53
50	54
50	55
51	50
51	52
51	53
51	54
51	55
52	50
52	53
52	52
52	54
52	55
53	50
53	51
53	52
53	53
53	54
54	53
54	50
54	55
40	20
40	21
40	22
41	23
42	24
43	23
44	22
41	27
42	28
43	19
42	18
44	20
45	20
45	25
45	23
45	18
40	18
40	19
40	29
50	0
50	1
51	2
50	5
51	7
51	9
51	0
51	8
50	8
50	7
50	6
54	0
53	0
56	3
56	7
55	0
57	2
56	8
56	4
58	4
58	5
58	9
0	50
0	51
0	52
1	50
1	54
1	56
2	50
2	53
2	57
3	58
3	56
3	50
4	52
4	54
5	55
5	50
6	52
6	53
7	54
7	58
8	56
54	4
54	6
54	8
54	9
56	3
56	7
56	9
53	2
53	3
53	4
53	5
53	6
53	9
53	10
53	1
52	2
52	6
52	4
52	1
52	9
41	17
41	16
41	15
41	20
